stat_id,claim,number,unit,geography,date_or_period,publisher,source_url,quote_or_context,section_tag,verification
MCS-091,Firm AI adoption is expected to reach 22% within six months.,22,percent,US,expectation within 6 months of Nov 2025–Jan 2026,U.S. Census Bureau (CES Working Paper 26-25 / BTOS),https://www2.census.gov/library/working-papers/2026/adrm/ces/CES-WP-26-25.pdf,adoption is expected to reach 22% within six months,ai_adoption,verified
MCS-092,"Among adopting firms, Sales and Marketing is the most common AI business function at 52%.",52,percent,US,Nov 2025–Jan 2026,U.S. Census Bureau (CES Working Paper 26-25 / BTOS),https://www2.census.gov/library/working-papers/2026/adrm/ces/CES-WP-26-25.pdf,"most commonly Sales and Marketing (52%), Strategy and Business Development (45%), and IT (41%)",ai_adoption,verified
MCS-093,AI-related employment decreases occurred in only 2% of firms.,2,percent,US,Nov 2025–Jan 2026,U.S. Census Bureau (CES Working Paper 26-25 / BTOS),https://www2.census.gov/library/working-papers/2026/adrm/ces/CES-WP-26-25.pdf,"AI-related employment decreases are rare, occurring in only 2% of firms",ai_adoption,verified
MCS-094,"In 23% of firms (41% employment-weighted), workers use AI in work-related tasks.",23,percent,US,Nov 2025–Jan 2026,U.S. Census Bureau (CES Working Paper 26-25 / BTOS),https://www2.census.gov/library/working-papers/2026/adrm/ces/CES-WP-26-25.pdf,"In 23% (41%, employment-weighted) of firms, workers use AI in work-related tasks.",ai_adoption,verified
MCS-095,Most AI users (66%) rely on AI solely to augment tasks.,66,percent,US,Nov 2025–Jan 2026,U.S. Census Bureau (CES Working Paper 26-25 / BTOS),https://www2.census.gov/library/working-papers/2026/adrm/ces/CES-WP-26-25.pdf,Most users (66%) rely on AI solely to augment tasks,ai_adoption,verified
MCS-096,57% of AI users integrate AI in three or fewer business functions.,57,percent,US,Nov 2025–Jan 2026,U.S. Census Bureau (CES Working Paper 26-25 / BTOS),https://www2.census.gov/library/working-papers/2026/adrm/ces/CES-WP-26-25.pdf,57% of users integrate AI in three or fewer business functions,ai_adoption,verified
MCS-097,Weave agreed to acquire TrueLark for $35 million ($25M cash and $10M equity).,35,USD millions,US,"May 5, 2025 announcement",Weave Communications (SEC EX-99.1),https://www.sec.gov/Archives/edgar/data/1609151/000160915125000053/pressreleaseforthemergerwi.htm,"Weave will acquire all outstanding equity and ownership interest in TrueLark for $35 million, which comprises $25 million in cash and $10 million in equity",other,verified
MCS-098,Weave estimated a $10 billion domestic addressable market following the TrueLark acquisition.,10,USD billions,US,"May 5, 2025",Weave Communications (SEC EX-99.1),https://www.sec.gov/Archives/edgar/data/1609151/000160915125000053/pressreleaseforthemergerwi.htm,With an estimated $10 billion domestic and $22 billion international addressable market following the acquisition,other,verified
MCS-099,Weave estimated a $22 billion international addressable market following the TrueLark acquisition.,22,USD billions,international,"May 5, 2025",Weave Communications (SEC EX-99.1),https://www.sec.gov/Archives/edgar/data/1609151/000160915125000053/pressreleaseforthemergerwi.htm,$22 billion international addressable market following the acquisition,other,verified
MCS-100,"BLS projects employment of customer service representatives to decline 5.0 percent through 2033, partly due to GenAI automation exposure.",5.0,percent decline,US,2023–2033,U.S. Bureau of Labor Statistics (Monthly Labor Review),https://www.bls.gov/opub/mlr/2025/article/incorporating-ai-impacts-in-bls-employment-projections.htm,"medical transcriptionists and customer service representatives, whose employment is projected to decline by 4.7 and 5.0 percent, respectively, through 2033.",ai_adoption,verified
MCS-101,Average projected employment growth for all occupations was 4.0 percent for 2023–2033.,4.0,percent,US,2023–2033,U.S. Bureau of Labor Statistics (Monthly Labor Review),https://www.bls.gov/opub/mlr/2025/article/incorporating-ai-impacts-in-bls-employment-projections.htm,much faster than the average for all occupations (4.0 percent),other,verified
MCS-102,"Legal services industry employment growth is projected at 1.6 percent for 2023–2033, slower than the total economy.",1.6,percent,US,2023–2033,U.S. Bureau of Labor Statistics (Monthly Labor Review),https://www.bls.gov/opub/mlr/2025/article/incorporating-ai-impacts-in-bls-employment-projections.htm,employment growth in the legal services industry is projected to be slower (1.6 percent) than growth for the total economy (4.0 percent),other,verified
MCS-103,Arkansas construction small employers accounted for 86.0% of construction employment in the state.,86.0,percent,AR,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"Construction | 5,969 | 99.0 | 46,062 | 86.0",home_services,verified
MCS-104,"Arkansas health care and social assistance small employers employed 88,401 people (46.5% of industry employment).",88401,employees,AR,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"Health Care and Social Assistance | 6,092 | 97.4 | 88,401 | 46.5",arkansas,verified
MCS-105,U.S. small construction employers accounted for 80.7% of construction employment.,80.7,percent,US,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/United_States_2025-State-Profile.pdf,Construction | ... Employees Small % 80.7,home_services,verified
MCS-106,Financial services Google Ads drove nearly half (47%) of conversations in CallRail’s analysis.,47,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,Google Ads driving nearly half of all conversations (47%),channels_marketing,verified
MCS-107,Legal industry Google Ads drove 43% of conversations.,43,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,Google Ads driving 43% of conversations,channels_marketing,verified
MCS-108,Automotive Google My Business led with 37% of calls in the industry.,37,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,"Google My Business leads the way, with 37% of calls in the industry coming from this channel",channels_marketing,verified
MCS-109,Healthcare Google Ads led with 34% of conversations.,34,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,Google Ads leads with 34% of conversations,channels_marketing,verified
MCS-110,22% of Google My Business calls come from repeat customers.,22,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,22% of Google My Business calls come from repeat customers,channels_marketing,verified
